"","species","decimalLatitude","decimalLongitude","family","year","month","day","recordedBy","identifiedBy","sex","stateProvince","locality","coordinatePrecision","uid"
"2","Xylocopa violacea",36.763528,-4.425162,"Apidae",2022,1,2,"lizamast","lizamast",NA,"Andalucía",NA,NA,"55_Gbif_1"
"3","Apis mellifera",37.185436,-5.776409,"Apidae",2022,1,20,"Jesús","Jesús",NA,"Andalucía",NA,NA,"55_Gbif_2"
"4","Bombus terrestris",41.963856,2.82876,"Apidae",2022,1,11,"mammal","Leonid",NA,"Cataluña",NA,NA,"55_Gbif_3"
"6","Apis mellifera",37.257385,-6.328051,"Apidae",2022,1,6,"adremix","adremix",NA,"Andalucía",NA,NA,"55_Gbif_5"
"7","Bombus terrestris",38.909163,-0.229156,"Apidae",2022,1,15,"supergan","supergan",NA,"Comunidad Valenciana",NA,NA,"55_Gbif_6"
"8","Apis mellifera",41.273485,1.983021,"Apidae",2022,1,1,"Josep Mª Albesa Gasulla","Josep Mª Albesa Gasulla",NA,"Cataluña",NA,NA,"55_Gbif_7"
"9","Apis mellifera",42.131177,3.121833,"Apidae",2022,1,15,"mammal","John Ascher",NA,"Cataluña",NA,NA,"55_Gbif_8"
"11","Xylocopa violacea",36.763353,-4.425303,"Apidae",2022,1,2,"lizamast","lizamast",NA,"Andalucía",NA,NA,"55_Gbif_10"
"16","Apis mellifera",41.3397,1.742276,"Apidae",2022,1,2,"Josep Mª Albesa Gasulla","Josep Mª Albesa Gasulla",NA,"Cataluña",NA,NA,"55_Gbif_15"
"18","Apis mellifera",41.338874,1.741306,"Apidae",2022,1,2,"Josep Mª Albesa Gasulla","justyna_kierat",NA,"Cataluña",NA,NA,"55_Gbif_17"
"19","Apis mellifera",41.346179,1.739896,"Apidae",2022,1,2,"Josep Mª Albesa Gasulla","Josep Mª Albesa Gasulla",NA,"Cataluña",NA,NA,"55_Gbif_18"
"21","Apis mellifera",35.911263,-5.363185,"Apidae",2022,1,15,"Francisco","Ray G. Cama",NA,"Ceuta y Melilla",NA,NA,"55_Gbif_20"
"23","Apis mellifera",41.342751,1.743181,"Apidae",2022,1,2,"Josep Mª Albesa Gasulla","justyna_kierat",NA,"Cataluña",NA,NA,"55_Gbif_22"
"24","Apis mellifera",42.12056,2.184678,"Apidae",2022,1,9,"Alba","Alba",NA,"Cataluña",NA,NA,"55_Gbif_23"
"27","Apis mellifera",37.047199,-6.566277,"Apidae",2022,1,3,"Liam Castillo Foschi","Liam Castillo Foschi",NA,"Andalucía",NA,NA,"55_Gbif_26"
"28","Apis mellifera",41.96486,2.828203,"Apidae",2022,1,19,"mammal","frank007",NA,"Cataluña",NA,NA,"55_Gbif_27"
"29","Apis mellifera",39.521448,-0.508264,"Apidae",2022,1,16,"hecpg09","hecpg09",NA,"Comunidad Valenciana",NA,NA,"55_Gbif_28"
"31","Apis mellifera",36.756111,-3.493889,"Apidae",2021,1,3,"Inma Torres","Inma Torres","FEMALE","Andalucía",NA,NA,"55_Gbif_30"
"32","Bombus terrestris",42.082972,2.88145,"Apidae",2021,1,8,"albertmola","albertmola","FEMALE","Cataluña",NA,NA,"55_Gbif_31"
"33","Apis mellifera",42.120443,2.184641,"Apidae",2021,1,17,"Alba","Alba",NA,"Cataluña",NA,NA,"55_Gbif_32"
"34","Apis mellifera",36.91373,-6.061417,"Apidae",2021,1,28,"Dr. Jesús Jiménez-Ruiz","Dr. Jesús Jiménez-Ruiz",NA,"Andalucía",NA,NA,"55_Gbif_33"
"35","Apis mellifera",42.125833,2.197353,"Apidae",2021,1,17,"Alba","Alba",NA,"Cataluña",NA,NA,"55_Gbif_34"
"36","Apis mellifera",39.390733,-0.37251,"Apidae",2021,1,24,"Luis Orlando","John Ascher",NA,"Comunidad Valenciana",NA,NA,"55_Gbif_35"
