Genus;Subgenus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Start.date;End.date;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Bombus;Alpigenobombus;wurflenii;pyrenaicus;Spain;Girona;Nuria;;;;2015;7;10;;;C. Ornosa;;0;0;1;;https://doi.org/10.11646/zootaxa.4237.1.3;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Alpigenobombus;wurflenii;pyrenaicus;Spain;Girona;Nuria, Bosc de la Verge;;;;2009;7;24;;;C. Ornosa;;0;0;1;;https://doi.org/10.11646/zootaxa.4237.1.4;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Alpigenobombus;wurflenii;pyrenaicus;Spain;Girona;La Molina, Roc Blanco;;;;2009;7;25;;;C. Ornosa;;0;0;1;;https://doi.org/10.11646/zootaxa.4237.1.5;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Alpigenobombus;wurflenii;pyrenaicus;Spain;Huesca;Ordesa, Gradas de Soaso;;;;2006;7;4;;;C. Ornosa;;0;0;1;;https://doi.org/10.11646/zootaxa.4237.1.6;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Alpigenobombus;wurflenii;pyrenaicus;Spain;Huesca;Ordesa, Gradas de Soaso;;;;2013;7;10;;;C. Ornosa;;1;0;0;;https://doi.org/10.11646/zootaxa.4237.1.7;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;Female queen
Bombus;Alpigenobombus;wurflenii;pyrenaicus;Spain;Huesca;Ordesa, Gradas de Soaso;;;;2014;8;8;;;E. Acosta;;2;0;0;;https://doi.org/10.11646/zootaxa.4237.1.8;;UMU;"Ornosa, C.; Torres, F. & de la Rua, P.";;Female queen
Bombus;Alpigenobombus;wurflenii;pyrenaicus;Spain;Lleida;Baños de Tredos;;;;2014;7;10;;;C. Ornosa;;1;0;0;;https://doi.org/10.11646/zootaxa.4237.1.9;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;Female queen
Bombus;Bombus;lucorum;lucorum;Andorra;Soldeu;Soldeu;;;;2006;7;28;;;C. Ornosa;;0;1;0;;https://doi.org/10.11646/zootaxa.4237.1.10;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Girona;Campodron, ski resort;;;;2009;7;9;;;C. Ornosa;;0;2;4;;https://doi.org/10.11646/zootaxa.4237.1.11;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Girona;Campodron, ski resort;;;;2015;7;8;;;C. Ornosa;;0;0;1;;https://doi.org/10.11646/zootaxa.4237.1.12;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Girona;La Molina, ski resort;;;;2015;7;9;;;F. Torres;;1;3;4;;https://doi.org/10.11646/zootaxa.4237.1.13;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;Female queen
Bombus;Bombus;lucorum;lucorum;Spain;Girona;La Molina, Alabaus;;;;2015;7;9;;;C. Ornosa;;0;1;15;;https://doi.org/10.11646/zootaxa.4237.1.14;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Girona;Nuria, Pic de l´Aliga;;;;2009;7;24;;;C. Ornosa;;2;0;2;;https://doi.org/10.11646/zootaxa.4237.1.15;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;Female queen
Bombus;Bombus;lucorum;lucorum;Spain;Girona;Nuria, Bosc de la Verge;;;;2015;7;10;;;F. Torres;;8;0;0;;https://doi.org/10.11646/zootaxa.4237.1.16;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;Female queen
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;Biescas;;;;2014;8;10;;;E. Acosta;;0;1;0;;https://doi.org/10.11646/zootaxa.4237.1.17;;UMU;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;Canfranc, railway station;;;;2006;7;3;;;C. Ornosa;;0;0;6;;https://doi.org/10.11646/zootaxa.4237.1.18;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;Chia, Mirador, Valle de Benasque;;;;2011;7;14;;;C. Ornosa;;0;1;0;;https://doi.org/10.11646/zootaxa.4237.1.19;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;Hecho-Anso mountain pass;;;;2014;8;11;;;P. De la Rua ;;0;2;4;;https://doi.org/10.11646/zootaxa.4237.1.20;;UMU;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;La Besurta, Ibo de Villamorta;;;;2011;7;15;;;C. Ornosa;;1;0;2;;https://doi.org/10.11646/zootaxa.4237.1.21;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;Female queen
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;Linas de Broto;;;;2013;7;12;;;F. Torres;;1;0;0;;https://doi.org/10.11646/zootaxa.4237.1.22;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;Female queen
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;Ordesa, pradera;;;;2006;7;4;;;C. Ornosa;;0;1;0;;https://doi.org/10.11646/zootaxa.4237.1.23;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;Ordesa, Gradas de Soaso slope;;;;2006;7;4;;;C. Ornosa;;0;0;1;;https://doi.org/10.11646/zootaxa.4237.1.24;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;Ordesa, Gradas de Soaso slope;;;;2006;7;4;;;C. Ornosa;;0;8;8;;https://doi.org/10.11646/zootaxa.4237.1.25;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;Ordesa, Gradas de Soaso slope;;;;2014;8;8;;;E. Acosta;;1;3;2;;https://doi.org/10.11646/zootaxa.4237.1.26;;UMU;"Ornosa, C.; Torres, F. & de la Rua, P.";;Female queen
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;Ordesa, Laña Sarratieto;;;;2013;7;10;;;F. Torres;;0;1;0;;https://doi.org/10.11646/zootaxa.4237.1.27;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;Panticosa, alto;;;;2006;6;5;;;C. Ornosa;;0;3;3;;https://doi.org/10.11646/zootaxa.4237.1.28;;UCME;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;San Nicolas de Bujaruelo;;;;2014;8;9;;;P. De la Rua ;;0;4;1;;https://doi.org/10.11646/zootaxa.4237.1.29;;UMU;"Ornosa, C.; Torres, F. & de la Rua, P.";;
Bombus;Bombus;lucorum;lucorum;Spain;Huesca;Sort pass track;;;;2012;8;12;;;P. De la Rua ;;0;0;1;;https://doi.org/10.11646/zootaxa.4237.1.30;;UMU Zuriza;"Ornosa, C.; Torres, F. & de la Rua, P.";;
