Species;author;Country;Longitude;Latitude;Year;Month;Day;Start.date;End.date;Coll../.source
abeillei;PÉREZ;PORTUGAL;W06.46;N41.56;2016;07;04;NA;NA;Baldock
abeillei;PÉREZ;PORTUGAL;W07.27;N37.11;NA;NA;NA;12-03-1999;19-03-1999;Kuhlmann
abeillei;PÉREZ;PORTUGAL;W07.35;N37.07;2005;05;04;NA;NA;Coll. Smit, Duiven
abeillei;PÉREZ;PORTUGAL;W07.42;N37.05;2001;06;14;NA;NA;Natural History Museum, London
abeillei;PÉREZ;PORTUGAL;W07.45;N37.10;2005;05;04;NA;NA;Coll. Smit, Duiven
abeillei;PÉREZ;PORTUGAL;W07.46;N37.21;2015;06;05;NA;NA;Baldock
abeillei;PÉREZ;PORTUGAL;W07.52;N37.09;1982;10;04;NA;NA;National Museum of Natural History, Leiden
abeillei;PEREZ;PORTUGAL;W07.55;N37.07;2010;09;20;NA;NA;Baldock
abeillei;PÉREZ;PORTUGAL;W07.57;N37.10;2015;09;14;NA;NA;Liebig
abeillei;PÉREZ;PORTUGAL;W07.58;N37.03;1987;10;14;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;PORTUGAL;W08.01;N37.05;1982;10;10;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;PORTUGAL;W08.06;N37.04;NA;NA;NA;16-06-1978;19-06-1978;Natural History Museum, London
abeillei;PÉREZ;PORTUGAL;W08.09;N41.27;1991;06;15;NA;NA;Schwarz
abeillei;PEREZ;PORTUGAL;W08.17;N37.07;2009;10;11;NA;NA;Baldock
abeillei;PÉREZ;PORTUGAL;W08.18;N37.15;2005;05;05;NA;NA;Coll. Smit, Duiven
abeillei;PEREZ;PORTUGAL;W08.25;N37.11;2011;06;10;NA;NA;Baldock
abeillei;PÉREZ;PORTUGAL;W08.34;N38.10;1994;06;01;NA;NA;ETH Zürich, Entomologische Sammlungen
abeillei;PÉREZ;PORTUGAL;W08.41;N38.01;1960;09;18;NA;NA;Zoölogisch Museum Amsterdam
abeillei;PEREZ;PORTUGAL;W08.46;N37.25;2011;05;25;NA;NA;Baldock
abeillei;PEREZ;PORTUGAL;W08.46;N37.25;2011;05;24;NA;NA;Baldock
abeillei;PÉREZ;PORTUGAL;W08.47;N37.43;2014;09;21;NA;NA;D. Baldock
abeillei;PÉREZ;PORTUGAL;W08.48;N37.04;2015;10;12;NA;NA;Baldock
abeillei;PÉREZ;PORTUGAL;W08.48;N37.04;2015;10;14;NA;NA;Baldock
abeillei;PEREZ;PORTUGAL;W08.51;N37.17;2009;05;31;NA;NA;Prosi
abeillei;PÉREZ;PORTUGAL;W08.52;N37.12;2014;09;18;NA;NA;D. Baldock
abeillei;PÉREZ;PORTUGAL;W08.52;N37.19;2017;05;17;NA;NA;D. Baldock
abeillei;PÉREZ;PORTUGAL;W08.55;N37.01;1995;05;15;NA;NA;Schwarz
abeillei;PÉREZ;PORTUGAL;W08.56;N37.01;1995;05;07;NA;NA;Schwarz
abeillei;PÉREZ;PORTUGAL;W08.59;N38.29 ;2011;09;30;NA;NA;Baldock
abeillei;PEREZ;PORTUGAL;W09.06;N38.26;2011;06;03;NA;NA;Baldock
abeillei;PÉREZ;PORTUGAL;W09.11;N38.39;NA;NA;NA;4-09-1985;13-09-1985;Risch
abeillei;PÉREZ;PORTUGAL;W09.11;N38.39;NA;NA;NA;24-05-1985;13-06-1985;Risch
abeillei;PÉREZ;PORTUGAL;W09.11;N38.39;NA;NA;NA;14-09-1985;14-10-1985;Kuhlmann
abeillei;PEREZ;PORTUGAL;W09.13;N38.25;NA;NA;NA;1-06-2011;5-06-2011;Baldock
abeillei;PÉREZ;PORTUGAL;W09.19;N38.41;1956;04;29;NA;NA;Museo Zoologico de Coimbra
abeillei;PÉREZ;PORTUGAL;W09.19;N38.41;1953;06;13;NA;NA;Museo Zoologico de Coimbra
abeillei;PÉREZ;PORTUGAL;W09.23;N38.42;1944;02;22;NA;NA;Natural History Museum, London
abeillei;PÉREZ;SPAIN;E00.02;N38.43;1997;09;28;NA;NA;Scheuchl
abeillei;PÉREZ;SPAIN;E00.30;N41.13;2000;05;06;NA;NA;Scheuchl
abeillei;PÉREZ;SPAIN;E00.50;N41.07;NA;NA;NA;01-06-2008;05-06-2008;USDA, Logan, Utah
abeillei;PÉREZ;SPAIN;E01.14;N41.07;1961;06;NA;NA;NA;ETH Zürich, Entomologische Sammlungen
abeillei;PÉREZ;SPAIN;E01.18;N41.07;1960;05;28;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;E01.22.51;N42.07.26;2019;06;09;NA;NA;Wim Klein, Naturalis
abeillei;PÉREZ;SPAIN;E01.54;N41.33;1955;05;21;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;E02.32;N42.13;1999;06;25;NA;NA;Exkursion Uni Bielefeld
abeillei;PÉREZ;SPAIN;E02.44;N41.39;1987;06;15;NA;NA;Schwarz
abeillei;PÈREZ;SPAIN;E03.00;N39.30;1905;03;04;NA;NA;Museo Nacional de Ciencias Naturales, Madrid
abeillei;PÉREZ;SPAIN;E03.00;N39.30;1995;04;20;NA;NA;F. Amiet
abeillei;PÉREZ;SPAIN;E03.00;N39.30;2003;09;21;NA;NA;Natural History Museum, London
abeillei;PÉREZ;SPAIN;E03.00;N39.30;2003;09;24;NA;NA;Natural History Museum, London
abeillei;PEREZ;SPAIN;E03.02;N39.43;2010;05;24;NA;NA;Baldock
abeillei;PEREZ;SPAIN;E03.02;N39.43;2009;06;02;NA;NA;Baldock
abeillei;PEREZ;SPAIN;E03.02;N39.43;2009;05;20;NA;NA;Baldock
abeillei;PEREZ;SPAIN;E03.07;N39.46;NA;NA;NA;01-06-1984;15-06-1984;Baldock
abeillei;PEREZ;SPAIN;E03.08.06;N39.46.49;2007;05;18;NA;NA;Baldock
abeillei;PEREZ;SPAIN;E03.08.06;N39.46.49;2007;05;17;NA;NA;Baldock
abeillei;PEREZ;SPAIN;E03.08.06;N39.46.49;2007;05;20;NA;NA;Baldock
abeillei;PÉREZ;SPAIN;E03.10.16;N42.19.25;2019;06;14;NA;NA;Wim Klein, Naturalis
abeillei;PÉREZ;SPAIN;E03.25;N39.44;2014;05;18;NA;NA;D. Baldock
abeillei;PÉREZ;SPAIN;E03.25;N39.44;2012;05;23;NA;NA;Baldock
abeillei;PÉREZ;SPAIN;E03.26;N39.42;2010;06;02;NA;NA;Baldock
abeillei;PÉREZ;SPAIN;E03.26;N39.42;2009;05;12;NA;NA;Baldock
abeillei;PÉREZ;SPAIN;E04.02;N39.58;1991;10;03;NA;NA;Kuhlmann
abeillei;PÉREZ;SPAIN;E04.02;N39.58;1991;10;11;NA;NA;Burger
abeillei;PÉREZ;SPAIN;E04.02;N39.58;1991;10;03;NA;NA;Burger
abeillei;PÉREZ;SPAIN;W00.07;N38.32;1974;10;02;NA;NA;Gembloux
abeillei;PÉREZ;SPAIN;W00.07;N38.32;1974;10;04;NA;NA;Gembloux
abeillei;PÉREZ;SPAIN;W00.11;N38.41;1997;09;24;NA;NA;Scheuchl
abeillei;PÉREZ;SPAIN;W00.16;N39.40;1952;10;14;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W00.30;N38.38;2008;06;06;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W00.34;N38.31;2008;06;06;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W00.57;N37.49;2006;10;14;NA;NA;Scheuchl
abeillei;PÉREZ;SPAIN;W01.16;N37.41;2006;10;13;NA;NA;Scheuchl
abeillei;PÉREZ;SPAIN;W01.25;N37.51;2000;04;29;NA;NA;Scheuchl
abeillei;PÉREZ;SPAIN;W01.25;N37.51;2001;04;30;NA;NA;Scheuchl
abeillei;PÉREZ;SPAIN;W01.25;N37.51;2004;10;10;NA;NA;Scheuchl
abeillei;PÉREZ;SPAIN;W01.41;N37.40;1974;06;03;NA;NA;USDA, Logan, Utah
abeillei;PÉREZ;SPAIN;W02.07;N37.06;1991;10;11;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W02.09;N38.53;1983;10;03;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W02.09.16;N36.51.56;2019;05;25;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W02.09.18;N36.51.41;2018;05;31;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W02.12;N36.58;1991;10;04;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W02.12.11;N36.59.10;2018;05;22;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W02.12.19;N36.59.36;2019;05;26;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W02.13.02;N36.55.25;2018;05;28;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W02.13.15;N36.59.11;2018;05;24;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W02.13.15;N36.59.23;2019;05;27;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W02.13.23;N36.59.41;2018;05;26;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W02.13.53;N36.59.08;2019;05;22;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W02.14.04;N36.59.05;2018;05;21;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W02.14.04;N36.59.05;2018;05;22;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W02.27;N36.56;1983;10;09;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W02.32;N37.07;1991;09;29;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W02.34;N41.45;1969;07;13;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W02.36;N36.53;1991;09;12;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W02.37;N38.34;2008;04;26;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W02.38;N37.06;1989;10;12;NA;NA;J. Ortiz-Sanchez
