"";"X";"flag";"checked";"synonym_names";"questionable";"accepted_name";"accepted_subspecies";"Notes"
"1";1;"Afranthidium schultessii";"Afranthidium schulthessii";NA;NA;"Afranthidium schulthessii";NA;NA
"2";2;"Amegilla candens";NA;NA;NA;"Amegilla fasciata";NA;"It is likely that actually Amegilla andresi is also a synonym of A. fasciata (P. Rasmont pers comm), but this is not published so we do not change it for now"
"3";3;"Amegilla canifrons";NA;NA;NA;"Remove";NA;"Canarian species"
"4";4;"Amegilla savignyi";NA;NA;NA;"Amegilla magnilabris";NA;"If Amgeilla savigyni is distinct, it is probably a North African species only"
"5";5;"Amegilla talaris";NA;NA;NA;"Amegilla albigena";"talaris";"The status of A. tallaris is not clear, it may be distinct but for now should be considered a subspecies of A. albigena"
"6";6;"Ammobates major";NA;NA;NA;"Ammobates muticus";NA;NA
"7";7;"Andrena aegyptiaca";NA;NA;NA;"Remove";NA;"Canarian species: Andrena aegyptiaca cannabina"
"8";8;"Andrena alfkenella o nana";NA;NA;" o ";"Remove";NA;"alfkenella or nana - identification uncertain, delete record"
"9";9;"Andrena candida";NA;NA;NA;"Remove";NA;"Not an Iberian species - delete"
"10";10;"Andrena carantonica";NA;NA;NA;"Andrena scotica";NA;"Great taxonomic confusion over this species, currently collate records under the single name scotica. This group needs to be revised in Iberia"
"11";11;"Andrena carbonaria";NA;NA;NA;"Andrena pilipes";NA;NA
"12";12;"Andrena chalcogastra";NA;NA;NA;"Remove";NA;"Canarian species"
"13";13;"Andrena clarkella";NA;NA;NA;"Andrena clarkella";NA;"This species would be new for the Iberian peninsula - possible misidentification? I would be very interested to see this specimen"
"14";14;"Andrena curtula";"Andrena urdula";NA;NA;"Andrena spreta";NA;"Great taxonomic confusion over this species, currently collate records under the single name spreta. This taxon needs to be revised"
"15";15;"Andrena damara";"Andrena avara";NA;NA;"Andrena clarkella";NA;"Canarian species"
"16";16;"Andrena distinguenda";NA;NA;NA;"Andrena nitidula";NA;"True distinguenda does not occur in Iberia - records almost certaintly refer to nitidula"
"17";17;"Andrena espanola";NA;NA;NA;"Andrena truncatilabris";"espanola";"The status of espanola is not completely clear, keep as subspecies of truncatilabris for now"
"18";18;"Andrena florea???";NA;NA;"???";"Remove";NA;"Consider deleting because of the '???' indicating uncertainty over the identification"
"19";19;"Andrena floricola";NA;NA;NA;"Andrena floricola";NA;NA
"20";20;"Andrena fulvata";NA;NA;NA;"Remove";NA;"This species is currently unknown from the Iberian peninsula, probably a misidentification, I need to see the specimen"
"21";21;"Andrena gelriae";NA;NA;NA;"Andrena gredana";NA;"Andrena gelriae s.l. material from Iberia is referrable to A. gredana, revision in progress"
"22";22;"Andrena hillana";NA;NA;NA;"Remove";NA;"Canarian species"
"23";23;"Andrena induta";NA;NA;NA;"Remove";NA;"Not an Iberian species - delete"
"24";24;"Andrena isis";"Andrena mitis";NA;NA;"Remove";NA;"Canarian species: Andrena isis canaria"
"25";25;"Andrena leptopyga???";NA;NA;"???";"Remove";NA;"Consider deleting because of the '???' indicating uncertainty over the identification"
"26";26;"Andrena lineolata";NA;NA;NA;"Remove";NA;"Canarian species"
"27";27;"Andrena macrocephala";NA;"Andrena nigripes";NA;"Remove";NA;"Not an Iberian species - delete"
"28";28;"Andrena maderensis";NA;NA;NA;"Remove";NA;"Madeiran species"
"29";29;"Andrena mediovittata";NA;NA;NA;"Remove";NA;"Canarian species: Andrena mediovittata arvensis"
"30";30;"Andrena nigroaenaea";"Andrena nigroaenea";NA;NA;"Andrena nigroaenea";NA;NA
"31";31;"Andrena nuptialis";"Andrena nuptualis";NA;NA;"Andrena nuptialis";NA;NA
"32";32;"Andrena ovatula_agg";NA;NA;"_agg";"Andrena ovatula";"aggregate";"Multiple species present in Iberia, aggregate required"
"33";33;"Andrena ovulata";NA;NA;NA;"Andrena ovatula";NA;NA
"34";34;"Andrena pilipes_agg";NA;NA;"_agg";"Andrena pilipes";NA;NA
"35";35;"Andrena proxima";NA;NA;NA;"Andrena ampla";NA;"Only one member of the proxima-group is present in Iberia, Andrena ampla"
"36";36;"Andrena proxima_agg";NA;NA;"_agg";"Andrena ampla";NA;"Only one member of the proxima-group is present in Iberia, Andrena ampla"
"37";37;"Andrena rhyssonota";"Andrena rhyssonata";NA;NA;"Andrena rhyssonata";NA;NA
"38";38;"Andrena sagittaria";NA;NA;NA;"Remove";NA;"Canarian species"
"39";39;"Andrena savignyi";NA;NA;NA;"Remove";NA;"Canarian species"
"40";40;"Andrena scotica?";"Andrena scotica";NA;"?";"Remove";NA;"Delete - user uncertainty"
"41";41;"Andrena sinuata";NA;NA;NA;"Remove";NA;"The Canarian Andrena damara and Andrena sagittaria were split out from Andrena sinuata which is North African. Check the specific island to get the species identity"
"42";42;"Andrena spolata";"Andrena polita";NA;NA;"Remove";NA;"Canarian species"
"43";43;"Andrena squalida";NA;"Andrena villipes";NA;"Andrena villipes";NA;NA
"44";44;"Andrena subopaca";NA;NA;NA;"Andrena subopaca";NA;NA
