"";"X.X.flag.checked.synonym_names.questionable.accepted_name.accepted_subspecies.Notes";"flag";"checked";"synonym_names";"questionable";"accepted_name";"accepted_subspecies";"Notes"
"1";"1;1;Afranthidium schultessii;Afranthidium schulthessii;NA;NA;Afranthidium schulthessii;NA;NA";NA;NA;NA;NA;NA;NA;NA
"2";"2;2;Amegilla candens;NA;NA;NA;Amegilla fasciata;NA;It is likely that actually Amegilla andresi is also a synonym of A. fasciata (P. Rasmont pers comm), but this is not published so we do not change it for now";NA;NA;NA;NA;NA;NA;NA
"3";"3;3;Amegilla canifrons;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"4";"4;4;Amegilla savignyi;NA;NA;NA;Amegilla magnilabris;NA;If Amgeilla savigyni is distinct, it is probably a North African species only";NA;NA;NA;NA;NA;NA;NA
"5";"5;5;Amegilla talaris;NA;NA;NA;Amegilla albigena;talaris;The status of A. tallaris is not clear, it may be distinct but for now should be considered a subspecies of A. albigena";NA;NA;NA;NA;NA;NA;NA
"6";"6;6;Ammobates major;NA;NA;NA;Ammobates muticus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"7";"7;7;Andrena aegyptiaca;NA;NA;NA;Remove;NA;Canarian species: Andrena aegyptiaca cannabina";NA;NA;NA;NA;NA;NA;NA
"8";"8;8;Andrena alfkenella o nana;NA;NA; o ;Remove;NA;alfkenella or nana - identification uncertain, delete record";NA;NA;NA;NA;NA;NA;NA
"9";"9;9;Andrena candida;NA;NA;NA;Remove;NA;Not an Iberian species - delete";NA;NA;NA;NA;NA;NA;NA
"10";"10;10;Andrena carantonica;NA;NA;NA;Andrena scotica;NA;Great taxonomic confusion over this species, currently collate records under the single name scotica. This group needs to be revised in Iberia";NA;NA;NA;NA;NA;NA;NA
"11";"11;11;Andrena carbonaria;NA;NA;NA;Andrena pilipes;NA;NA";NA;NA;NA;NA;NA;NA;NA
"12";"12;12;Andrena chalcogastra;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"13";"13;13;Andrena clarkella;NA;NA;NA;Andrena clarkella;NA;This species would be new for the Iberian peninsula - possible misidentification? I would be very interested to see this specimen";NA;NA;NA;NA;NA;NA;NA
"14";"14;14;Andrena curtula;Andrena urdula;NA;NA;Andrena spreta;NA;Great taxonomic confusion over this species, currently collate records under the single name spreta. This taxon needs to be revised";NA;NA;NA;NA;NA;NA;NA
"15";"15;15;Andrena damara;Andrena avara;NA;NA;Andrena clarkella;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"16";"16;16;Andrena distinguenda;NA;NA;NA;Andrena nitidula;NA;True distinguenda does not occur in Iberia - records almost certaintly refer to nitidula";NA;NA;NA;NA;NA;NA;NA
"17";"17;17;Andrena espanola;NA;NA;NA;Andrena truncatilabris;espanola;The status of espanola is not completely clear, keep as subspecies of truncatilabris for now";NA;NA;NA;NA;NA;NA;NA
"18";"18;18;Andrena florea???;NA;NA;???;Remove;NA;Consider deleting because of the '???' indicating uncertainty over the identification";NA;NA;NA;NA;NA;NA;NA
"19";"19;19;Andrena floricola;NA;NA;NA;Andrena floricola;NA;NA";NA;NA;NA;NA;NA;NA;NA
"20";"20;20;Andrena fulvata;NA;NA;NA;Remove;NA;This species is currently unknown from the Iberian peninsula, probably a misidentification, I need to see the specimen";NA;NA;NA;NA;NA;NA;NA
"21";"21;21;Andrena gelriae;NA;NA;NA;Andrena gredana;NA;Andrena gelriae s.l. material from Iberia is referrable to A. gredana, revision in progress";NA;NA;NA;NA;NA;NA;NA
"22";"22;22;Andrena hillana;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"23";"23;23;Andrena induta;NA;NA;NA;Remove;NA;Not an Iberian species - delete";NA;NA;NA;NA;NA;NA;NA
"24";"24;24;Andrena isis;Andrena mitis;NA;NA;Remove;NA;Canarian species: Andrena isis canaria";NA;NA;NA;NA;NA;NA;NA
"25";"25;25;Andrena leptopyga???;NA;NA;???;Remove;NA;Consider deleting because of the '???' indicating uncertainty over the identification";NA;NA;NA;NA;NA;NA;NA
"26";"26;26;Andrena lineolata;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"27";"27;27;Andrena macrocephala;NA;Andrena nigripes;NA;Remove;NA;Not an Iberian species - delete";NA;NA;NA;NA;NA;NA;NA
"28";"28;28;Andrena maderensis;NA;NA;NA;Remove;NA;Madeiran species";NA;NA;NA;NA;NA;NA;NA
