"Colletes.species","author","country","longitude","latitude","date","Coll../.source"
"abeillei","PÉREZ","PORTUGAL","W06.46","N41.56","2016-07-04","Baldock"
"abeillei","PÉREZ","PORTUGAL","W07.27","N37.11","12.-19.3.1999","Kuhlmann"
"abeillei","PÉREZ","PORTUGAL","W07.35","N37.07","2005-05-04","Coll. Smit, Duiven"
"abeillei","PÉREZ","PORTUGAL","W07.42","N37.05","2001-06-14","Natural History Museum, London"
"abeillei","PÉREZ","PORTUGAL","W07.45","N37.10","2005-05-04","Coll. Smit, Duiven"
"abeillei","PÉREZ","PORTUGAL","W07.46","N37.21","2015-06-05","Baldock"
"abeillei","PÉREZ","PORTUGAL","W07.52","N37.09","1982-10-04","National Museum of Natural History, Leiden"
"abeillei","PEREZ","PORTUGAL","W07.55","N37.07","2010-09-20","Baldock"
"abeillei","PÉREZ","PORTUGAL","W07.57","N37.10","2015-09-14","Liebig"
"abeillei","PÉREZ","PORTUGAL","W07.58","N37.03","1987-10-14","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","PORTUGAL","W08.01","N37.05","1982-10-10","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","PORTUGAL","W08.06","N37.04","16.-19.6.1978","Natural History Museum, London"
"abeillei","PÉREZ","PORTUGAL","W08.09","N41.27","1991-06-15","Schwarz"
"abeillei","PEREZ","PORTUGAL","W08.17","N37.07","2009-10-11","Baldock"
"abeillei","PÉREZ","PORTUGAL","W08.18","N37.15","2005-05-05","Coll. Smit, Duiven"
"abeillei","PEREZ","PORTUGAL","W08.25","N37.11","2011-06-10","Baldock"
"abeillei","PÉREZ","PORTUGAL","W08.34","N38.10","1994-06-01","ETH Zürich, Entomologische Sammlungen"
"abeillei","PÉREZ","PORTUGAL","W08.41","N38.01","1960-09-18","Zoölogisch Museum Amsterdam"
"abeillei","PEREZ","PORTUGAL","W08.46","N37.25","2011-05-25","Baldock"
"abeillei","PEREZ","PORTUGAL","W08.46","N37.25","2011-05-24","Baldock"
"abeillei","PÉREZ","PORTUGAL","W08.47","N37.43","2014-09-21","D. Baldock"
"abeillei","PÉREZ","PORTUGAL","W08.48","N37.04","2015-10-12","Baldock"
"abeillei","PÉREZ","PORTUGAL","W08.48","N37.04","2015-10-14","Baldock"
