"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Any.other.additional.data.(Habitat.type)","Notes.and.queries"
"Apis","Apis mellifera",NA,"Portugal","Azores","Terceira Island",38.7611864279751,-27.1851474281194,"<3km",2013,7,23,2013-06-27,2014-10-03,"Ana Picanço","Ana Picanço/Paulo A. V. Borges",NA,NA,NA,3,"DOI:10.1111/icad.12216; DOI:10.3897/natureconservation.18.11523","Persicaria capitata","CE3C/IBBC/GBA","Ana Picanço; Paulo A. V.Borges","Exotic forest",NA
"Apis","Apis mellifera",NA,"Portugal","Azores","Terceira Island",38.7611864279751,-27.1851474281194,"<3km",2014,9,22,2013-06-27,2014-10-03,"Ana Picanço","Ana Picanço/Paulo A. V. Borges",NA,NA,NA,2,"DOI:10.1111/icad.12216; DOI:10.3897/natureconservation.18.11524","Rubus ulmifolius","CE3C/IBBC/GBA","Ana Picanço; Paulo A. V.Borges","Exotic forest",NA
"Apis","Apis mellifera",NA,"Portugal","Azores","Terceira Island",38.7494784316933,-27.1805139998975,"<3km",2013,7,23,2013-06-27,2014-10-03,"Ana Picanço","Ana Picanço/Paulo A. V. Borges",NA,NA,NA,1,"DOI:10.1111/icad.12216; DOI:10.3897/natureconservation.18.11525","Rubus ulmifolius","CE3C/IBBC/GBA","Ana Picanço; Paulo A. V.Borges","Exotic forest",NA
"Apis","Apis mellifera",NA,"Portugal","Azores","Terceira Island",38.7592787724305,-27.2426901447392,"<3km",2013,7,3,2013-06-27,2014-10-03,"Ana Picanço","Ana Picanço/Paulo A. V. Borges",NA,NA,NA,4,"DOI:10.1111/icad.12216; DOI:10.3897/natureconservation.18.11526","Persicaria capitata","CE3C/IBBC/GBA","Ana Picanço; Paulo A. V.Borges","Exotic forest",NA
"Apis","Apis mellifera",NA,"Portugal","Azores","Terceira Island",38.7592787724305,-27.2426901447392,"<3km",2013,7,3,2013-06-27,2014-10-03,"Ana Picanço","Ana Picanço/Paulo A. V. Borges",NA,NA,NA,1,"DOI:10.1111/icad.12216; DOI:10.3897/natureconservation.18.11527","Prunella vulgaris","CE3C/IBBC/GBA","Ana Picanço; Paulo A. V.Borges","Exotic forest",NA
"Apis","Apis mellifera",NA,"Portugal","Azores","Terceira Island",38.7592787724305,-27.2426901447392,"<3km",2014,10,3,2013-06-27,2014-10-03,"Ana Picanço","Ana Picanço/Paulo A. V. Borges",NA,NA,NA,1,"DOI:10.1111/icad.12216; DOI:10.3897/natureconservation.18.11528","Persicaria capitata","CE3C/IBBC/GBA","Ana Picanço; Paulo A. V.Borges","Exotic forest",NA
"Apis","Apis mellifera",NA,"Portugal","Azores","Terceira Island",38.7540047928239,-27.1667149737436,"<3km",2013,7,23,2013-06-27,2014-10-03,"Ana Picanço","Ana Picanço/Paulo A. V. Borges",NA,NA,NA,1,"DOI:10.1111/icad.12216; DOI:10.3897/natureconservation.18.11529","Rubus ulmifolius","CE3C/IBBC/GBA","Ana Picanço; Paulo A. V.Borges","Exotic forest",NA
"Apis","Apis mellifera",NA,"Portugal","Azores","Terceira Island",38.6798853971758,-27.2826605615077,"<3km",2013,7,1,2013-06-27,2014-10-03,"Ana Picanço","Ana Picanço/Paulo A. V. Borges",NA,NA,NA,4,"DOI:10.1111/icad.12216; DOI:10.3897/natureconservation.18.11530","Crepis capillaris","CE3C/IBBC/GBA","Ana Picanço; Paulo A. V.Borges","Intensively managed pasture",NA
"Apis","Apis mellifera",NA,"Portugal","Azores","Terceira Island",38.6798853971758,-27.2826605615077,"<3km",2014,8,5,2013-06-27,2014-10-03,"Ana Picanço","Ana Picanço/Paulo A. V. Borges",NA,NA,NA,4,"DOI:10.1111/icad.12216; DOI:10.3897/natureconservation.18.11531","Trifolium repens","CE3C/IBBC/GBA","Ana Picanço; Paulo A. V.Borges","Intensively managed pasture",NA
"Apis","Apis mellifera",NA,"Portugal","Azores","Terceira Island",38.7333166650813,-27.136752912121,"<3km",2014,9,24,2013-06-27,2014-10-03,"Ana Picanço","Ana Picanço/Paulo A. V. Borges",NA,NA,NA,4,"DOI:10.1111/icad.12216; DOI:10.3897/natureconservation.18.11532","Trifolium repens","CE3C/IBBC/GBA","Ana Picanço; Paulo A. V.Borges","Intensively managed pasture",NA
